"Ref","Scientific_Name","Common_Name","N_Predictor","N_Response","N_Analysis","Variable","Variable_Category","Error_Distribution","Data_Available","Observation_Method","Mean_Observation_Period_hours","Single_Observation_Period?","Pooled_Estimates?","N_Pooled_Groups","Estimate_Units","Estimate_Units_hours","Per_Chick","Mean_N_Chicks","Mean_Rate","SD_Rate","Adjusted_Mean_Rate","Adjusted_SD_Rate","Expexted_CV","Proportion_Expected_V","Notes"
87,"Ficedula hypoleuca","Pied Flycatcher",NA,"1",1,"visits","number","Gaussian","TRUE","automated",0.1666667,TRUE,FALSE,NA,"visits/min",0.01666667,FALSE,NA,0.499,0.2788603,4.99,2.788603,0.334513703363016,0.358307201877153,"pooled during; extracted from SM; time period a bit unclear - median 10 mins?"
87,"Ficedula hypoleuca","Pied Flycatcher",NA,"2",2,"visits","number","Gaussian","TRUE","automated",0.1666667,TRUE,FALSE,NA,"visits/min",0.01666667,FALSE,NA,0.383,0.1876475,3.83,1.876475,0,0,"neighbour during; extracted from SM; time period a bit unclear - median 10 mins?"
92,"Turdoides squamiceps","Arabian Babbler",NA,"1",1,"visits/time","rate","Gaussian","FALSE","direct",2,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,12.28815,4.56202,24.5763,9.12404,0.311672316042218,0.704782472490785,"delta1,2; extracted from fig1"
92,"Turdoides squamiceps","Arabian Babbler",NA,"1",1,"visits/time","rate","Gaussian","FALSE","direct",2,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,13.37163,3.53854,26.74326,7.07708,0.180656186135921,0.466043181504431,"delta2,3; extracted from fig1"
94,"Aegithalos caudatus","Long-tailed Tit",2,"1",3,"visits/time","rate","Gaussian","FALSE","direct",0.87,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,20,NA,17.4,NA,NA,NA,"mean IVI - 6, so rate of two birds = 20 visits per hour"
96,"Sayornis phoebe","Eastern Phoebe",NA,"1",1,"visits/time/chick","rate","Gaussian","FALSE","video",2,TRUE,FALSE,NA,"visits/hour/chick",1,TRUE,4.3,9.689286,6.06213,83.3278596,NA,NA,NA,NA
97,"Xolmis pyrope","Fire-eyed Diucon",NA,"2",2,"visits/time/chick","rate","Gaussian","FALSE","video",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,3,13.35316,7.102973,13.35316,7.102973,0.456139237138738,0.735330604668439,"extracted from fig. 1c; one nest 3 chicks so visits/hour calculated"
100,"Dendrocopos syriacus","Syrian Woodpecker",NA,"2",2,"visits/time","rate","non-parametric","FALSE","mixed direct + video",2,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,7.818182,2.040499,15.636364,4.080998,0.0645322270735022,0.0611353054563541,"total; extracted from fig2"
100,"Dendrocopos syriacus","Syrian Woodpecker",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",2,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,3.909091,0.8312094,7.818182,1.6624188,0,0,"females; extracted from fig2"
100,"Dendrocopos syriacus","Syrian Woodpecker",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",2,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,4.272727,1.793929,8.545454,3.587858,0.243428771746079,0.336158118711962,"males; extracted from fig2"
100,"Dendrocopos syriacus","Syrian Woodpecker",NA,"7",7,"visits/time/chick","rate","non-parametric","FALSE","mixed direct + video",2,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"total per chick; data not extracted"
100,"Dendrocopos syriacus","Syrian Woodpecker",NA,"2",2,"visits/time/chick","rate","non-parametric","FALSE","mixed direct + video",2,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"female per chick; data not extracted"
100,"Dendrocopos syriacus","Syrian Woodpecker",NA,"2",2,"visits/time/chick","rate","non-parametric","FALSE","mixed direct + video",2,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"male per chick; data not extracted"
101,"Sturnus vulgaris","European Starling",NA,"2",2,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,2.807083,1.262125,2.807083,1.262125,0,0,"table3; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"2",2,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,2.437391,1.786564,2.437391,1.786564,0.356353781845912,0.236361095178891,"table4; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,3.438125,1.417832,3.438125,1.417832,0,0,"table5; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,1.827813,1.27047,1.827813,1.27047,0,0,"table5; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,5.95875,2.499887,5.95875,2.499887,0.0904807424306333,0.0465138067961449,"table5; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,2.317619,1.837908,2.317619,1.837908,0.444293171166576,0.313888803913992,"table6; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,1.535476,1.835235,1.535476,1.835235,0.881641798267222,0.544110419453777,"table6; extracted from SM; analysed as per chick,"
